index,Player,RECEIVING REC,RECEIVING YDS,RECEIVING TDS,MISC FL,MISC FPTS,Position,PASSING ATT,PASSING CMP,PASSING YDS,PASSING TDS,PASSING INTS,RUSHING ATT,RUSHING YDS,RUSHING TDS,SACK,INT,FR,FF,TD,SAFETY,PA,YDS AGN,FPTS,FG,FGA,XPT
28,Josh Gordon,4.2,66.1,0.6,0.0,14.3,wr,,,,,,0.0,0.0,0.0,,,,,,,,,14.3,,,
29,Nelson Agholor,4.8,63.6,0.5,0.0,14.2,wr,,,,,,0.3,1.8,0.0,,,,,,,,,14.2,,,
30,John Ross,4.7,58.6,0.6,0.0,14.1,wr,,,,,,0.2,1.1,0.0,,,,,,,,,14.1,,,
31,Robert Woods,4.8,67.8,0.3,0.1,13.8,wr,,,,,,1.0,7.0,0.0,,,,,,,,,13.8,,,
32,Christian Kirk,5.0,68.0,0.2,0.0,13.5,wr,,,,,,0.3,2.7,0.0,,,,,,,,,13.5,,,
33,Will Fuller,3.8,62.6,0.4,0.0,12.8,wr,,,,,,0.2,1.1,0.0,,,,,,,,,12.8,,,
34,Marvin Jones,4.2,60.7,0.4,0.0,12.7,wr,,,,,,0.1,0.7,0.0,,,,,,,,,12.7,,,
35,Sterling Shepard,4.9,60.9,0.2,0.0,12.6,wr,,,,,,0.2,1.4,0.0,,,,,,,,,12.6,,,
36,Terry McLaurin,4.4,56.9,0.4,0.1,12.4,wr,,,,,,0.2,0.7,0.0,,,,,,,,,12.4,,,
37,Mike Williams,3.4,54.0,0.5,0.0,11.9,wr,,,,,,0.1,0.7,0.0,,,,,,,,,11.9,,,
38,Jamison Crowder,5.2,58.8,0.1,0.1,11.7,wr,,,,,,0.3,1.5,0.0,,,,,,,,,11.7,,,
39,D.K. Metcalf,3.4,55.1,0.5,0.0,11.6,wr,,,,,,0.0,0.3,0.0,,,,,,,,,11.6,,,
40,Randall Cobb,4.4,48.9,0.3,0.1,11.2,wr,,,,,,0.7,3.7,0.0,,,,,,,,,11.2,,,
41,Courtland Sutton,3.8,61.5,0.2,0.0,10.8,wr,,,,,,0.0,0.0,0.0,,,,,,,,,10.8,,,
42,Phillip Dorsett,3.6,50.5,0.3,0.0,10.8,wr,,,,,,0.2,1.3,0.0,,,,,,,,,10.8,,,
43,Jarvis Landry,4.1,54.2,0.2,0.1,10.7,wr,,,,,,0.3,2.4,0.0,,,,,,,,,10.7,,,
44,D.J. Chark,4.1,55.5,0.2,0.0,10.7,wr,,,,,,0.1,0.8,0.0,,,,,,,,,10.7,,,
45,Curtis Samuel,3.7,50.8,0.2,0.0,10.6,wr,,,,,,0.6,5.5,0.1,,,,,,,,,10.6,,,
46,Marquez Valdes-Scantling,3.6,53.4,0.2,0.0,10.1,wr,,,,,,0.2,1.6,0.0,,,,,,,,,10.1,,,
47,Cole Beasley,4.0,48.5,0.2,0.0,9.9,wr,,,,,,0.1,0.3,0.0,,,,,,,,,9.9,,,
48,Dede Westbrook,4.1,45.9,0.1,0.1,9.8,wr,,,,,,0.6,4.7,0.0,,,,,,,,,9.8,,,
49,Deebo Samuel,3.6,47.0,0.2,0.1,9.7,wr,,,,,,0.7,4.2,0.0,,,,,,,,,9.7,,,
50,Chris Conley,3.9,48.8,0.2,0.1,9.6,wr,,,,,,0.0,0.3,0.0,,,,,,,,,9.6,,,
51,Danny Amendola,4.2,45.6,0.1,0.0,9.5,wr,,,,,,0.1,0.4,0.0,,,,,,,,,9.5,,,
52,Robby Anderson,3.2,53.3,0.1,0.0,9.4,wr,,,,,,0.1,0.7,0.0,,,,,,,,,9.4,,,
53,Mohamed Sanu,3.8,43.8,0.2,0.0,9.2,wr,,,,,,0.3,2.0,0.0,,,,,,,,,9.2,,,
54,Demarcus Robinson,2.9,46.7,0.3,0.0,9.1,wr,,,,,,0.0,0.0,0.0,,,,,,,,,9.1,,,
55,Corey Davis,3.4,46.5,0.1,0.0,9.0,wr,,,,,,0.3,2.0,0.0,,,,,,,,,9.0,,,
56,James Washington,3.3,50.7,0.1,0.0,8.9,wr,,,,,,0.1,0.3,0.0,,,,,,,,,8.9,,,
57,Mecole Hardman,2.7,45.0,0.2,0.0,8.5,wr,,,,,,0.1,0.4,0.0,,,,,,,,,8.5,,,
58,Marquise Goodwin,2.8,44.0,0.2,0.0,8.5,wr,,,,,,0.2,1.1,0.0,,,,,,,,,8.5,,,
