actual_points,fumbles,fumbles_proj,name,point_diff,position,position_rank,pro_team,projected_points,rec_2pt_conversion,rec_2pt_conversion_proj,rec_avg_yards,rec_avg_yards_proj,rec_tds,rec_tds_proj,rec_yards,rec_yards_proj,receptions,receptions_proj,targets,targets_proj,week,weekly_outlook
19.0,0.0,0.027576857,T.Y. Hilton,5.140000000000001,WR,21,IND,13.86,0.0,0.023250608,12.333,13.80286026,1.0,0.497372256,74.0,67.36716547,6.0,4.880667067,11.0,7.71536345,7,"Despite missing two games last season, Hilton finished as fantasy's No. 14 scoring wide receiver. Hilton has now finished all seven of his NFL seasons as a top 27 fantasy receiver. Hilton, who has missed only four games in his NFL career, averaged 16.7 YPR last season and has ranked above the 80th percentile in the category each of the past five seasons. He has ranked above the 85th percentile in YPR four of the past five seasons. Hilton's main concern area is touchdowns, as he has never managed more than seven scores in a single season and hasn't caught more than six since 2014. Hilton has ranked outside the top 30 wide receivers in end zone targets during each of the past two seasons. Hilton's value takes a hit following Andrew Luck's retirement, especially considering he was held to four touchdowns and a 55 percent catch rate (both career lows) with Jacoby Brissett under center in 2017. Consider Hilton a fringe WR2."
19.0,,,Jaguars D/ST,12.35,DST,14,JAX,6.65,,,,,,,,,,,,,7,"The Jaguars' D/ST predictably took a step back in 2018 following about as dominant a defensive performance as you'll see in 2017. After ranking top-nine in every fantasy-relevant category the year prior, the 2018 Jaguars' D/ST fell to 22nd in forced turnovers (17) and 22nd in sacks (37). They still showed well in yardage allowed (fifth) and points allowed (fourth), however, which salvaged a top-10 fantasy campaign. Malik Jackson's offseason release is notable, but 2018 first-round pick Taven Bryan is waiting in the wings and joins a terrific core led by Calais Campbell, Myles Jack, Jalen Ramsey, A.J. Bouye and first-round pick Josh Allen. This extremely talented group should be one of the first D/STs off the board, though streamers should note that the Jaguars play the Chiefs in Week 1."
19.0,0.0,0.017687057,John Brown,8.07,WR,20,BUF,10.93,0.0,0.027896477,16.6,15.56110423,1.0,0.397689425,83.0,54.31298203,5.0,3.490303851,6.0,6.477301906,7,"Brown signed with the Bills after spending the first five seasons of his career in Arizona and Baltimore. Brown's best season saw him post a 65/1,003/7 line in 2015. He was fantasy's No. 25-scoring receiver that season, but he has been unable to come close to that production since. A sickle trait issue cost Brown game action during his stint in Arizona, but with that behind him, the 29-year-old didn't miss a single game en route to a 42/717/5 line last season. Brown's 14.9 average depth of target is highest in the NFL among 41 players with 400-plus targets since he entered the league. Brown figures to be an extremely boom/bust producer as a situational deep threat for strong-armed but inaccurate Josh Allen. He's only worth a late flier, especially in non-PPR."
19.0,,,Teddy Bridgewater,7.890000000000001,QB,20,NO,11.11,,,,,,,,,,,,,7,
18.0,,,Aaron Jones,1.120000000000001,RB,4,GB,16.88,,,,,,,,,,,,,7,"For the second consecutive season, Jones was one of the league's more efficient running backs in 2018, but a limited role and missed games precluded the 2017 fifth-round pick from consistent fantasy production. Jones has missed four games in each of the past two seasons but has averaged a healthy 5.5 YPC during both campaigns. Despite playing only 51 percent of the snaps, Jones posted a trio of top-10 fantasy weeks and ranked 13th at the position in fantasy points during the 11 weeks in which he wasn't out or injured last season. With a new coaching staff in place, Jones is the favorite to lead a committee with Jamaal Williams this season. Jones will be positioned for around 200 carries and a modest receiving role, which should allow for solid RB2 numbers."
18.0,,,Ravens D/ST,14.51,DST,18,BAL,3.49,,,,,,,,,,,,,7,"Baltimore's D/ST has been a fantasy powerhouse for a long time, posting four top-seven campaigns the past five seasons and seven in the past 11 seasons. In 2018, the Ravens allowed a league-low 4,687 yards, and their 287 points allowed ranked second-best. On the other hand, the unit ranked 22nd in forced turnovers and was outside the top 10 in sacks for the fourth consecutive season. The worst news is that Baltimore lost its Nos. 1, 2, 5 and 7 snap-getters from 2018 (Eric Weddle, C.J. Mosley, Terrell Suggs, Za'Darius Smith). Earl Thomas was a strong addition, but this unit has more holes than we're used to. Expect a step back to more of a streaming option."
18.0,,,Andy Dalton,3.8499999999999996,QB,16,CIN,14.15,,,,,,,,,,,,,7,"Dalton threw 33 touchdowns and was fantasy's No. 6 scoring quarterback in 2013. Since that point, he's failed to clear 25 passing touchdowns in a season and hasn't finished a season better than 12th in fantasy points. That includes an injury-shortened 2018 campaign in which Dalton completed only 62 percent of his passes (ninth worst) and averaged 7.0 yards per attempt (10th worst). Dalton has posted exactly 99 rushing yards and zero touchdowns each of the past two seasons after rushing for 17 scores during the previous five seasons. Dalton is a below-average passer with a supporting cast that isn't much different than in 2018. Barring major contributions from new head coach Zac Taylor, Dalton is likely headed for another season of fantasy irrelevance."
18.0,0.0,0.014122465,Danny Amendola,12.690000000000001,WR,60,DET,5.31,0.0,0.006016928,13.125,10.77490055,0.0,0.110628497,105.0,28.49855295,8.0,2.644901716,11.0,3.744394046,7,Amendola's tour of the league continues with a stint in Detroit for at least the 2019 season. He was cut by Miami after posting a 59/575/1 line in 15 games last season. Amendola has never cleared four receiving touchdowns in a single season and has not finished a campaign with more than 689 receiving yards or better than 30th at the position in fantasy points (both came way back in 2010). Amendola has aligned in the slot on 83.3 percent of his career pass routes and work between perimeter receivers Kenny Golladay and Marvin Jones Jr in Detroit. Amendola figures to settle in third or fourth in line for targets in a run-first offense that ranked 23rd in offensive touchdowns last season. The 33-year-old is no more than a late-round flier in very deep PPR leagues.
18.0,,,Ryan Tannehill,5.140000000000001,QB,36,TEN,12.86,,,,,,,,,,,,,7,
17.0,,,Derrick Henry,1.3100000000000005,RB,12,TEN,15.69,,,,,,,,,,,,,7,"It isn't often that a player has nearly as many rushing touchdowns as he has receptions, but that was the case for Henry last season. The oversized back rushed for 12 scores (third-most) thanks to 13 carries inside the 5 (fourth-most). Despite playing a situational role most of the season, Henry's 238-yard, four-touchdown effort in Week 14 vaulted him into a larger role down the stretch. He was the top-scoring fantasy back by 17 points from that point on. Henry has been very efficient as a rusher (top-three in YAC each of the past two seasons) but has yet to clear 15 receptions in a season. He's expected to take on the largest role of his career in 2019, but that doesn't figure to mean much of an uptick in targets. That limits him to RB2 territory, but upgrade him in non-PPR."
