week,name,projected_points,actual_points,point_diff,pro_team,position,position_rank,weekly_outlook,receptions,rec_yards,rec_tds,rec_2pt_conversion,targets,rec_avg_yards,fumbles,receptions_proj,rec_yards_proj,rec_tds_proj,rec_2pt_conversion_proj,targets_proj,rec_avg_yards_proj,fumbles_proj
13,Jake Butt,0.0,0.0,0.0,DEN,TE,0,"Butt is set to enter his third NFL season but has appeared in only three games thus far. Butt tore his ACL during the 2016 Orange Bowl and missed his entire rookie season after Denver selected him in the fifth round of the 2017 draft. Last season, he was targeted 12 times in three games before tearing his ACL at practice. The Michigan product is a solid pass-catcher with good hands, but he's not very fast or athletic. Butt was placed on IR again this season and is well off the fantasy radar.",,,,,,,,,,,,,,
13,DeAndre Carter,0.4,0.0,-0.4,HOU,WR,154,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.218643155,2.365979378,0.010699902,0.000295868,0.315450659,10.82119115,0.001281939
13,Equanimeous St. Brown,0.0,0.0,0.0,GB,WR,0,"St. Brown was the third of three wide receivers selected by the Packers in the mid-to-late rounds of the 2018 draft. Though he did enough to overtake fourth-rounder J'Mon Moore on the depth chart, St. Brown was limited to 238 routes and 35 targets in 12 regular-season games. He posted a 21/328/0 receiving line and his best weekly fantasy finish was 26th. The 6-foot-5 receiver is out for the 2019 season.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Charles Clay,2.53,4.0,1.4700000000000002,ARI,TE,45,"Clay signed with the Cardinals following a disappointing four-year tenure in Buffalo. Clay broke out way back in 2013, when he posted a 69-759-6 line and was fantasy's No. 8 tight end. Since that point, he's missed at least one game in five consecutive seasons, while averaging 70.8 targets, 47.2 receptions, 485.4 yards and 2.4 touchdowns per season. He failed to post a single top-15 fantasy season during the span. Clay is now 30 years old and will compete with Maxx Williams for top billing in the Arizona tight end room. There's not much upside here in a new-look offense that won't throw to the tight end much.",,,,,,,,,,,,,,
13,Christian Blake,7.46,11.0,3.54,ATL,WR,144,,6.0,57.0,0.0,0.0,9.0,9.5,0.0,3.389019463,39.869812,0.180565457,0.013912013,5.361476446,11.76440927,0.019870357
13,Pharoh Cooper,3.68,6.0,2.32,ARI,WR,107,,4.0,26.0,0.0,0.0,6.0,6.5,0.0,1.72873467,18.26959678,0.12754988,0.008749534,2.590048303,10.56819019,0.01137729
13,Tyrod Taylor,0.01,0.0,-0.01,LAC,QB,52,,,,,,,,,,,,,,,
13,Isaiah McKenzie,4.95,6.0,1.0499999999999998,BUF,WR,95,,3.0,34.0,0.0,0.0,3.0,11.333,0.0,2.174389051,24.55328981,0.111674239,0.007627166,3.545511309,11.29204077,0.011937589
13,Laquon Treadwell,3.27,12.0,8.73,MIN,WR,129,,1.0,58.0,1.0,0.0,2.0,58.0,0.0,1.67581158,18.97998195,0.100860124,0.004808942,2.612220537,11.32584485,0.010887711
13,Ryan Grant,0.0,0.0,0.0,GB,WR,174,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Damion Willis,0.89,0.0,-0.89,CIN,WR,148,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.627323184,7.862724704,0.04398471,0.001414257,1.033740357,12.53377032,0.003678095
13,Blake Bortles,0.01,0.0,-0.01,LAR,QB,60,,,,,,,,,,,,,,,
13,Nick O'Leary,4.65,1.0,-3.6500000000000004,JAX,TE,60,,,,,,,,,,,,,,,
13,Devine Ozigbo,0.0,0.0,0.0,JAX,RB,136,,,,,,,,,,,,,,,
13,Vyncint Smith,2.63,4.0,1.37,NYJ,WR,116,,2.0,23.0,0.0,0.0,3.0,11.5,0.0,0.823851666,12.85765509,0.093289166,0.005619326,1.459726421,15.60675984,0.007239652
13,D'Ernest Johnson,0.0,0.0,0.0,CLE,RB,101,,,,,,,,,,,,,,,
13,Nick Mullens,0.01,0.0,-0.01,SF,QB,60,,,,,,,,,,,,,,,
13,Alfred Blue,0.0,0.0,0.0,JAX,RB,0,,,,,,,,,,,,,,,
